,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
389,LOS TACOS & DESSERTS LLC,2,0,2,1,1
390,LOS TAMALES DE LA TIA,1,0,1,1,0
391,LOTUS BANH MI,1,1,0,0,1
392,LOTUS CAFE & BANH MI SANDWICHES,2,1,1,1,1
393,LOVE & LIGHT CAFE,1,1,0,1,0
394,LOVELYLAND LEARNING LAB CORPORATION,3,0,3,2,1
395,LUCKY FOOD MARKET,1,0,1,1,0
396,LUCKY MINI MARKET,1,1,0,0,1
397,LUMES PANCAKE HOUSE,1,0,1,0,1
398,LURE FISHBAR CHICAGO,1,0,1,0,1
399,LYRA,1,1,0,0,1
400,Lincoln,1,1,0,0,1
401,Lincoln Park (H/S),1,0,1,1,0
402,Ludlow Charlingtons,1,0,1,1,0
403,M & J CHICKEN & FISH,1,1,0,0,1
404,MACELLO RISTORANTE,1,0,1,1,0
405,MACHETES & MACHETACOS INC.,1,0,1,0,1
406,MACHETES PA MATAR EL HAMBRE,1,1,0,0,1
407,MADO HEALTHCARE-BUENA PARK,1,1,0,1,0
408,MAILLARD TAVERN,2,1,1,2,0
409,MAKKI MART CORP,2,1,1,2,0
410,MANZO'S BURGER,1,1,0,0,1
411,MARGARET MANOR HOME NORTH,1,0,1,1,0
412,MARIANO'S,1,1,0,0,1
413,MARIANO'S #8534,1,0,1,1,0
414,MARIANO'S #8539,1,0,1,0,1
415,MARKET CREATIONS,1,1,0,0,1
416,MARLONS CHICKEN & FISH,1,0,1,0,1
417,MARQUETTE ELEMENTARY SCHOOL,1,0,1,0,1
418,MARRIOTT MARQUIS CHICAGO,5,2,3,2,3
419,MARSHALL'S LANDING,1,0,1,1,0
420,MARTYRS',1,0,1,0,1
421,MATCHACITA,1,1,0,0,1
422,MAXI BAKERY,1,1,0,0,1
423,MAXWELL FAMOUS STEAK & LIMONADE,1,0,1,1,0
424,MCDONALD'S,2,1,1,2,0
425,MCDONALD'S #490,1,1,0,0,1
426,MCDONALD'S #5813,1,0,1,0,1
427,MCDONALDS,3,2,1,1,2
428,"MEDLEY GRILL & BBQ, LLC",2,1,1,1,1
429,MERCADITO LA MONARCA,2,0,2,1,1
430,MEXI-TACOS,1,0,1,0,1
431,MI NUEVA TIERRA,1,1,0,0,1
432,MICHOACANA SWEETS,1,0,1,1,0
433,MIDORI JAPANESE RESTAURANT,1,1,0,1,0
434,MIDWAY SUB,1,1,0,0,1
435,MILLYS PIZZA IN THE PAN,2,0,2,1,1
436,MIMI'S KIMBAP LLC,1,1,0,0,1
437,MIMI'S TACOS,1,0,1,1,0
438,MISO & NORI,4,1,3,4,0
439,MK NOODLE,1,0,1,0,1
440,ML KITCHEN INC.,1,0,1,0,1
441,MODA FOOD MART,1,1,0,0,1
442,MOE'S FOOD & DELI INC.,1,1,0,0,1
443,MOLE VILLAGE RESTAURANT,1,0,1,0,1
444,MOON STAR GROCERY,1,0,1,1,0
445,MOORE POPPIN LLC,1,1,0,0,1
446,MORALES DINNER RESTAURANT,1,1,0,0,1
447,MORGAN PARK HEALTHCARE LLC,1,0,1,1,0
448,MORRY DELI TWO,1,1,0,0,1
449,"MP SQUARED SUBS, LLC",1,0,1,0,1
450,MR QUILES MEXICAN FOOD,1,0,1,0,1
451,MR. J FISH & CHICKEN,1,1,0,0,1
452,MS. EGGROLL,1,1,0,0,1
453,MUSTARD SEED KITCHEN,2,0,2,1,1
454,NANDO'S PERI PERI,1,0,1,0,1
455,NATIONAL TEACHERS ACADEMY,2,2,0,1,1
456,NEVERIA LA TROPICANA CORPORATION,1,1,0,0,1
457,"NEW AGE CHILDREN'S PREPARATORY ACADEMY, INC.",1,0,1,1,0
458,NEW BEST SUB,1,0,1,0,1
459,"NEW KNOWLEDGE LEARNING CENTER, INC.",1,0,1,1,0
460,NEW PEARL'S PLACE RESTAURANT,1,1,0,0,1
461,NEW STONY SUMBARINE INC.,2,1,1,1,1
462,NICHOLAS HIGH QUALITY MEATS INC,1,0,1,0,1
463,NICKY V'S,1,1,0,0,1
464,NOR JUMAH MUBARAK,1,0,1,1,0
465,NORI & WASABI,1,0,1,1,0
466,NORMAN'S,1,0,1,1,0
467,NORTH BUENA DELI & WINE,4,2,2,2,2
468,NORTH RIVER ELEMENTARY,2,1,1,1,1
469,"NORTHWEST INSTITUTE FOR CONTEMPORARY LEARNING,INC",2,0,2,2,0
470,NORWEGIAN-AMERICIAN HOSPITAL,1,1,0,0,1
471,NOVEL PIZZA,1,0,1,1,0
472,NUTRITION HOUSE,1,0,1,1,0
473,NUTS ON CLARK POPCORN,1,0,1,0,1
474,NYC HALAL EATS ILLINOIS  LLC,4,1,3,4,0
475,OH HEN MART,1,0,1,1,0
476,ORANGE LINE,2,0,2,1,1
477,OUTDOOR CAFE,2,0,2,1,1
478,"Owens, J",1,0,1,0,1
479,PACO'S TACOS 2,1,0,1,1,0
480,PANDA EXPRESS # 1370,1,0,1,1,0
