,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
355,7- ELEVEN #33734J,4,2,2,1,3
356,7-11 34724 B,9,7,2,3,6
357,7-11-21 FOOD MART INC,3,0,3,2,1
358,7-ELEVEN,532,197,335,250,282
359,7-ELEVEN # 25341C,2,1,1,0,2
360,7-ELEVEN # 30099C,11,3,8,5,6
361,7-ELEVEN # 32934E,5,1,4,1,4
362,7-ELEVEN # 33591C,11,5,6,7,4
363,7-ELEVEN # 33723B,15,6,9,7,8
364,7-ELEVEN # 33731,13,6,7,5,8
365,7-ELEVEN # 33809C,12,5,7,5,7
366,7-ELEVEN # 37622A,5,1,4,3,2
367,7-ELEVEN #13314 F,5,4,1,2,3
368,7-ELEVEN #13542L,7,2,5,4,3
369,7-ELEVEN #15149K,11,3,8,9,2
370,7-ELEVEN #16689G,5,1,4,2,3
371,7-ELEVEN #16809,14,7,7,5,9
372,7-ELEVEN #18473,9,4,5,3,6
373,7-ELEVEN #18473E,5,2,3,2,3
374,7-ELEVEN #18473K,2,1,1,1,1
375,7-ELEVEN #20187,8,3,5,4,4
376,7-ELEVEN #24329,2,0,2,2,0
377,7-ELEVEN #24606,10,4,6,5,5
378,7-ELEVEN #25431,14,4,10,5,9
379,7-ELEVEN #26210J,9,5,4,6,3
380,7-ELEVEN #26825,10,5,5,3,7
381,7-ELEVEN #26878 F,6,2,4,2,4
382,7-ELEVEN #27421 C,11,4,7,5,6
383,7-ELEVEN #29098F,4,2,2,2,2
384,7-ELEVEN #29150F,3,2,1,3,0
385,7-ELEVEN #2915OH,4,1,3,2,2
386,7-ELEVEN #29168,16,7,9,6,10
387,7-ELEVEN #29168B,4,1,3,2,2
388,7-ELEVEN #29726G,12,5,7,7,5
389,7-ELEVEN #30105F,6,2,4,2,4
390,7-ELEVEN #32261D,2,2,0,0,2
391,7-ELEVEN #32885H,3,0,3,3,0
392,7-ELEVEN #32889B,28,8,20,17,11
393,7-ELEVEN #32930B,4,2,2,1,3
394,7-ELEVEN #33067 C,8,4,4,6,2
395,7-ELEVEN #33328C,10,1,9,7,3
396,7-ELEVEN #333921H,3,1,2,3,0
397,7-ELEVEN #33483J,2,1,1,1,1
398,7-ELEVEN #33496C,10,2,8,6,4
399,7-ELEVEN #33496H,5,2,3,3,2
400,7-ELEVEN #33508C,12,5,7,5,7
401,7-ELEVEN #33508D,4,2,2,2,2
402,7-ELEVEN #33508J,5,2,3,2,3
403,7-ELEVEN #33511C,15,5,10,5,10
404,7-ELEVEN #33583,3,1,2,2,1
405,7-ELEVEN #33606H,2,0,2,1,1
406,7-ELEVEN #33698J,2,1,1,1,1
407,7-ELEVEN #33705,5,1,4,3,2
408,7-ELEVEN #33705B,20,7,13,13,7
409,7-ELEVEN #33705K,3,1,2,2,1
410,7-ELEVEN #33725,15,7,8,3,12
411,7-ELEVEN #337288,13,5,8,5,8
412,7-ELEVEN #33731J,5,2,3,5,0
413,7-ELEVEN #33732A,13,6,7,3,10
414,7-ELEVEN #33732J,2,2,0,1,1
415,7-ELEVEN #33734 B,11,4,7,4,7
416,7-ELEVEN #33758 C,6,4,2,2,4
417,7-ELEVEN #33763B,12,4,8,5,7
418,7-ELEVEN #33768H,6,3,3,3,3
419,7-ELEVEN #33779,6,4,2,2,4
420,7-ELEVEN #33779B,6,2,4,3,3
421,7-ELEVEN #33809D,3,1,2,1,2
422,7-ELEVEN #33809K,3,0,3,2,1
423,7-ELEVEN #33835 C,3,2,1,1,2
424,7-ELEVEN #33835B,5,2,3,2,3
425,7-ELEVEN #33835H,4,1,3,2,2
426,7-ELEVEN #33841 B,3,0,3,2,1
427,7-ELEVEN #33856 B,3,0,3,3,0
428,7-ELEVEN #33856B,9,3,6,7,2
429,7-ELEVEN #33875B,9,1,8,5,4
430,7-ELEVEN #33908A,9,4,5,5,4
431,7-ELEVEN #33912B,4,1,3,2,2
432,7-ELEVEN #33920A,11,4,7,4,7
433,7-ELEVEN #33920H,7,1,6,6,1
434,7-ELEVEN #33921B,21,8,13,16,5
435,7-ELEVEN #33956A,7,4,3,2,5
436,7-ELEVEN #34724,7,3,4,4,3
437,7-ELEVEN #34724K,9,1,8,4,5
438,7-ELEVEN #35504,3,1,2,2,1
439,7-ELEVEN #35632B,4,0,4,4,0
440,7-ELEVEN #35750A,4,1,3,2,2
441,7-ELEVEN #35978A,9,4,5,4,5
442,7-ELEVEN #36061 A,8,3,5,3,5
443,7-ELEVEN #36061 H,4,2,2,2,2
444,7-ELEVEN #36106 B,8,2,6,6,2
445,7-ELEVEN #36106 H,5,2,3,2,3
446,7-ELEVEN #36106A,6,1,5,4,2
447,7-ELEVEN #36718A,5,1,4,3,2
